,comments
282,这次布景这么多？
283,大三了
284,喜欢这个！
285,那雨墨呢，一菲老弟和他女朋友呢
286,大八了
287,哈哈哈哈哈
288,好嘞看！！
289,弹幕有毛病是不是
290,小神龙俱乐部
291,表情到位
292,看起来
293,是抄袭，没他没说错，
294,终于能弹幕了
295,张伟和美佳可是接过吻的，子乔你绿了/滑稽
296,车到时候全是广告植入就行了
297,看看关谷不会出现在爱5了
298,啊啊啊啊啊啊啊wc啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊我最爱的cp，cao！
299,工作了
300,羽墨还是这么漂亮！！！！
301,这一段简直多余
302,？？？
303,吕子乔还是又贱又可爱
304,哇槽！！！
305,大二了
306,首尾呼应
307,woc
308,青春啊
309,真特么好熟悉的场地，好像横店小镇啊！！！
310,只要还好笑，我就想看完
311,迪士尼风哦，喜欢喜欢
312,在棺材里看
313,大学毕业了都诶……
314,工作了
315,真的来了
316,我弹幕坏了?
317,初中到大学毕业啊
318,哈哈哈哈哈哈哈
319,确实尬 反正咱们都这么熟 直接正片就行了
320,看到美嘉，我“啊”的一声叫了出来
321,羽墨！！！！！！！！
322,这真的是大师兄？？？？？？？？
323,这预告片玩尬的？
324,你滴盔甲没有我滴好看
325,突然有点难过，真的结束了吗，永不完结的爱情公寓也离开我了
326,一上来就吻一波。
327,小莲，你发福了
328,高二啦！！！
329,哈哈哈哈
330,大师兄是不是瘦了？
331,美嘉!
332,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
333,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
334,我的进度条告诉我确实就这么多了
335,？？？？？？？？？？？？！
336,工作四年
337,大三了
338,爱五终于来了！
339,金甲战士！
340,又在抄了
341,来真的啊
342,小四到大三
343,小学到大二了
344,行了行了别喷了
345,诺澜！
346,大三了
347,工作了
348,乔嘉！！！
349,2333333
350,大二了
351,展博还在旅游嘛
352,米意义~~
353,天呐我居然 能看到羽墨回归！
354,ohhhhhhhhhhhhhhhhhh
355,再来一遍!
356,哈哈哈哈哈哈张益达看啵嘴看的好开心啊hhhhh
357,哈哈哈哈哈哈哈
358,工作一年
359,初二了
360,别卖了，关谷回来就看
361,哎最终季了
362,想婉瑜
363,枯燥警告
364,陈赫是里面名声最大的
365,展博呢
366,肯定会看 给青春一个结局 
367,尬尼母亲呢，老觉得尬是病赶紧滚去神经科看病
368,丽萨，爱了爱了
369,工作5年
370,有一说一，有点尴尬
371,一镜到底牛壁了
372,官方吐槽hhhhhh
373,这句话什么意思？??
374,小学到大学
375,羽墨回来啦！！！！
376,遇到白宇
377,美嘉是不是瘦了哇
378,前方巨高能
379,大一
380,小学到高三
381,王传君不知道怎么评价
382,为了这个预告先看两集吧
383,卧槽卧槽卧槽
384,啊啊啊啊啊啊
385,啊啊啊啊
386,斯内克！！！
387,尬
388,老了
389,？？？？？？
390,大三了
391,博士后了，真怀念
392,卧槽
393,啊啊啊啊~啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
394,雨墨
395,高三了
396,哈哈哈哈
397,精髓啊居然细分烧好可惜
398,Ohmygod!
399,第一次的时候风华正茂，现在已是中年油腻男了
400,？2222
401,这段好听~~
402,研一
403,大五了
404,抄袭在以前季里已经自黑过了 你自己不看‘
405,高三啦
406,最终……季8？
407,官方吐槽
408,尬
409,大四了
410,哈哈哈哈哈哈哈哈啊哈哈哈哈哈哈哈
411,炉石传说
412,社畜了
413,口区
414,前方高能预警……——％
415,哈，管他呢，还不都是要去YouTube看未删减版
416,好想她
417,盐汽水
418,大二了
419,好尴尬
420,尴尬的我鸡皮疙瘩都起来了
421,大一咯
422,背后的画，死神，一护
423,展播去哪了
424,这个长镜头牛逼
425,那个日本广告的拍法
426,都是自己人别唱歌行不
427,所以这一季真的大换血诶
428, 战术自黑
429,尴尬癌犯了
430,卧槽
431,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊雨墨啊啊啊啊啊啊啊我最喜欢雨墨了
432,大二辽
433,噢耶
434,再看亿遍
435,张大炮
436,高三了
437,哈哈哈哈哈哈哈哈
438,死内科
439,高三了
440,一菲一菲一菲一菲一菲一菲
441,尬
442,玩尬的？
443,卧槽
444,丽萨
445,王传君不想演了
446,羽墨怎么办
447,诺澜
448,子乔美嘉！
449,Lisa你刷茶 Lisa你喝牙！
450,羽墨我女神
451,哇，丽莎耶
452,这一对。。。。。。
453,官方吐槽，最为致命
454,大师兄
455,欢迎主演
456,日本演员，你还日语可以，可笑死我了
457,没字幕的话就神奇了。
458,金甲战士张益达牌张大炮
459,这女的不是越女吗？段子倒闭前都还在被喷
460,这女的不是越女吗？段子倒闭前都还在被喷
461,这女的不是越女吗？段子倒闭前都还在被喷
462,我凑
463,雨墨啊
464,我觉得这个预告挺好的啊
465,雨墨啊
466,卧槽。。。。。
467,雨墨啊
468,毕业了
469,雨墨居然回来了。。。。。。
470,真的是同年的回忆
471,我靠
472,蹦迪公寓
473,高二了
